,Credit_Score,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Telephone_Indicator,Number_of_Dependants,Gender,Time_in_Employment,Employment_Type,Permanent_Employee,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau_Data___Monthly_Other_Co_R,Worst_History_CT,Age,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Worst_status_L6m,Worst_CUrrent_Status,Status_3s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,Time_since_most_recent_outstandi,PPI,Final_Grade_A,Final_Grade_B,Final_Grade_C,Final_Grade_D,Final_Grade_E,Final_Grade_F,Final_Grade_O,Final_Grade_R,Final_Grade_S,Final_Grade_X,Residential_Status_H,Residential_Status_L,Residential_Status_R,Residential_Status_T,Marital_Status_D,Marital_Status_M,Marital_Status_S,Marital_Status_W,Employment_Status_D,Employment_Status_G,Employment_Status_H,Employment_Status_M,Employment_Status_P,Employment_Status_R,Employment_Status_S,Employment_Status_T,Employment_Status_U,Payment_Method_C,Payment_Method_D,Payment_Method_S,Bankruptcy_Detected__SP__N,Bankruptcy_Detected__SP__T,Bankruptcy_Detected__SP__Y,CIFAS_detected_N,CIFAS_detected_T,CIFAS_detected_Y
0,918,36,3000.0,14.4,0,46,8,132,1,0,1,288,1,1,6,1,0,0,0,0,1,1,168,178000,47679,64406,513,5,46,64,1,5,16,0,0,0,0,9,10,1,18,6,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,903,120,21000.0,7.9,1,16,3,288,1,0,0,37,0,1,2,1,0,1,0,0,1,0,300,180000,11563,31614,331,5,59,13,0,0,99,0,1,0,0,6,22,0,203,8,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
2,1060,78,7200.0,7.9,1,17,3,276,1,0,1,154,1,1,5,1,0,1,0,0,1,0,369,199000,17563,26045,413,0,56,19,2,30,50,266,0,0,0,1,21,1,87,7,50,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
3,839,60,8000.0,16.9,0,47,8,48,1,0,1,82,1,1,6,1,0,1,0,0,1,0,216,120000,0,181217,1112,5,33,160,0,0,99,1,1,0,0,5,0,0,229,9,99,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,1057,60,7650.0,7.4,0,55,10,156,1,2,1,342,1,1,6,1,1,0,0,0,1,0,510,180000,60101,63811,435,0,49,62,0,0,99,0,0,0,0,1,13,0,38,6,99,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
5,913,120,33000.0,9.4,1,59,11,18,1,0,1,170,1,1,6,1,0,1,0,0,1,0,240,205000,166543,219003,1256,0,45,168,0,0,99,0,0,0,0,1,1,0,525,9,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
6,840,60,8000.0,15.9,0,12,2,293,1,0,1,77,1,1,6,1,1,1,0,0,1,0,317,179000,78823,90797,677,0,51,80,0,0,99,11,1,1,0,1,21,0,120,9,99,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
7,961,60,5300.0,11.9,1,43,7,163,0,2,1,351,1,1,6,1,0,0,0,0,1,1,243,92000,73386,84624,800,0,49,75,4,96,7,175,0,0,0,6,8,4,113,8,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
8,901,60,12000.0,11.9,0,11,2,108,1,1,1,24,1,1,6,1,1,1,1,0,1,0,180,180000,149254,158678,1300,5,55,151,0,0,99,0,1,1,0,5,8,0,95,9,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
9,915,60,6000.0,12.9,0,49,9,36,1,0,0,72,1,1,2,1,1,1,0,0,1,0,384,120000,0,2785,0,0,48,0,0,0,99,0,0,0,0,2,3,0,28,4,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
10,840,120,10150.0,12.4,1,24,4,37,1,2,1,58,1,1,6,1,0,1,0,0,1,0,261,110000,97253,109231,706,4,27,99,0,0,99,27,0,0,0,4,3,0,120,7,99,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
11,968,120,18000.0,8.4,1,24,4,2,0,0,0,168,1,1,3,1,0,1,0,0,1,1,420,120000,66776,85502,526,0,49,68,0,0,99,0,0,0,0,2,1,0,188,8,99,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
12,904,60,10000.0,8.7,0,46,8,24,1,0,1,8,1,1,6,1,0,1,0,0,1,0,174,150000,128584,157718,977,5,37,130,0,0,99,0,0,0,0,4,0,0,292,8,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
13,924,44,8000.0,9.9,0,47,8,418,1,0,1,439,1,1,6,1,0,0,0,0,1,1,379,120000,0,2827,0,0,72,0,0,0,99,0,0,0,0,0,0,0,29,1,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
