,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Status_3s_L6m,Years_on_ER_for_SP,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,Time_since_most_recent_outstandi
0,64,1,5,16,0,0,10,1,18,6,16
1,13,0,0,99,0,0,22,0,203,8,99
2,19,2,30,50,266,0,21,1,87,7,50
3,160,0,0,99,1,0,0,0,229,9,99
4,62,0,0,99,0,0,13,0,38,6,99
5,168,0,0,99,0,0,1,0,525,9,99
6,80,0,0,99,11,0,21,0,120,9,99
7,75,4,96,7,175,0,8,4,113,8,7
8,151,0,0,99,0,0,8,0,95,9,99
9,0,0,0,99,0,0,3,0,28,4,99
10,99,0,0,99,27,0,3,0,120,7,99
11,68,0,0,99,0,0,1,0,188,8,99
12,130,0,0,99,0,0,0,0,292,8,99
13,0,0,0,99,0,0,0,0,29,1,99
14,257,0,0,99,0,0,20,0,16,9,99
15,150,0,0,99,0,1,1,0,120,8,99
16,0,0,0,99,0,1,28,0,314,8,99
17,241,1,10,27,226,0,0,1,402,6,27
18,0,1,3,47,0,3,3,1,8,5,47
19,148,0,0,99,0,0,16,0,240,9,99
20,193,0,0,99,76,2,0,0,281,9,99
21,135,0,0,99,0,0,10,0,751,9,99
22,105,0,0,99,27,0,10,0,41,3,99
23,40,0,0,99,0,0,13,0,13,6,99
24,0,0,0,99,0,0,0,0,0,0,99
25,0,0,0,99,0,0,7,0,164,2,99
26,115,0,0,99,0,0,0,0,39,9,99
27,0,0,0,99,0,0,8,0,85,8,99
28,85,2,146,12,64,0,8,2,62,3,12
29,0,0,0,99,0,0,3,0,20,3,99
30,0,1,6,72,0,0,24,1,204,6,72
31,83,1,2,25,25,0,0,0,50,5,99
32,60,0,0,99,334,0,6,0,90,3,99
33,0,0,0,99,0,0,0,0,49,8,99
34,182,0,0,99,0,0,0,0,195,3,99
35,0,0,0,99,0,0,10,0,688,9,99
36,32,0,0,99,0,1,8,0,6,6,99
37,75,0,0,99,0,0,0,0,385,9,99
38,0,2,12,43,14,0,13,1,158,1,64
39,0,0,0,99,25,6,10,0,107,9,99
40,124,0,0,99,113,2,0,0,204,5,99
41,0,0,0,99,6,0,0,0,72,9,99
42,141,0,0,99,0,0,1,0,267,9,99
43,81,0,0,99,0,0,4,0,142,8,99
44,0,0,0,99,0,0,9,0,11,9,99
45,115,0,0,99,0,0,0,0,59,4,99
46,149,0,0,99,0,0,1,0,70,6,99
47,97,0,0,99,0,0,6,0,169,7,99
48,73,0,0,99,0,0,13,0,131,8,99
49,0,0,0,99,0,0,30,0,56,8,99
50,58,0,0,99,0,0,5,0,26,4,99
51,48,2,11,61,2,0,28,2,732,9,61
52,76,1,3,14,125,1,14,0,328,9,99
53,298,0,0,99,0,0,0,0,761,9,99
54,77,0,0,99,9,0,1,0,282,9,99
55,0,0,0,99,5,0,10,0,85,9,99
56,0,0,0,99,0,0,3,0,23,2,99
57,0,0,0,99,0,0,0,0,8,1,99
58,0,0,0,99,0,0,0,0,182,4,99
59,94,1,56,41,123,0,2,1,83,4,41
60,0,0,0,99,2,0,0,0,347,7,99
61,159,1,1,6,20,0,7,0,67,5,99
62,0,0,0,99,0,0,0,0,79,2,99
63,0,1,4,11,0,0,0,0,143,9,99
64,0,0,0,99,0,0,0,0,19,8,99
65,70,2,30,4,16,3,2,2,95,4,4
66,0,1,3,55,7,0,11,1,13,3,55
67,0,0,0,99,0,0,0,0,449,9,99
68,61,1,4,51,9,0,1,1,216,8,51
69,87,1,3,18,0,0,0,1,68,3,18
70,93,0,0,99,0,0,0,0,202,9,99
71,0,0,0,99,0,0,0,0,58,4,99
72,0,0,0,99,10,0,3,0,44,7,99
73,0,0,0,99,16,2,0,0,10,4,99
74,0,0,0,99,0,0,0,0,3,3,99
75,0,1,9,59,131,1,8,1,6,2,59
76,69,0,0,99,0,0,5,0,5,5,99
77,0,0,0,99,0,0,0,0,13,2,99
78,358,0,0,99,145,0,4,0,105,8,99
79,0,0,0,99,7,0,0,0,3,2,99
80,498,0,0,99,0,0,1,0,293,9,99
81,102,0,0,99,0,0,2,0,287,8,99
82,0,0,0,99,0,0,0,0,257,9,99
83,110,0,0,99,0,0,0,0,56,4,99
84,41,0,0,99,0,0,1,0,43,9,99
85,58,0,0,99,0,1,10,0,53,7,99
86,116,0,0,99,0,0,12,0,83,5,99
87,54,1,3,57,0,0,2,1,79,2,57
88,92,0,0,99,0,2,4,0,74,5,99
89,47,0,0,99,0,0,3,0,130,4,99
90,0,0,0,99,0,0,0,0,61,4,99
91,0,0,0,99,0,0,0,0,256,3,99
92,62,0,0,99,180,0,0,0,106,6,99
93,113,0,0,99,0,0,9,0,257,9,99
