,Ref,Credit_Score,Final_Grade,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Residential_Status,Telephone_Indicator,Number_of_Dependants,Marital_Status,Gender,Time_in_Employment,Employment_Status,Employment_Type,Permanent_Employee,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau_Data___Monthly_Other_Co_R,Worst_History_CT,Payment_Method,Age,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Worst_status_L6m,Worst_CUrrent_Status,Status_3s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Bankruptcy_Detected__SP_,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,CIFAS_detected,Time_since_most_recent_outstandi,Insurance_Description,PPI,code,prdt_desc,category,PPI_SINGLE,PPI_JOINT,PPI_LCI
1,3,903,A,120,21000.0,7.9,secured  ,16,3,288,H,Y,0,S,F,37,R,P,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,180000,11563,31614,331,5,D,59,13,0,0,99,0,1,0,0,6,22,N,0,203,8,N,99,Life & Critical Illn      ,1,748.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
2,4,1060,X,78,7200.0,7.9,secured  ,17,3,276,H,Y,0,M,M,154,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,369,199000,17563,26045,413,0,D,56,19,2,30,50,266,0,0,0,1,21,N,1,87,7,N,50,Joint                     ,1,719.0,LASCI JOINT,Joint,0,1,0
3,6,839,B,60,8000.0,16.9,UnSecured,47,8,48,R,Y,0,M,M,82,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,216,120000,0,181217,1112,5,D,33,160,0,0,99,1,1,0,0,5,0,N,0,229,9,N,99,Life & Critical Illn      ,1,748.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4,7,1057,X,60,7650.0,7.4,UnSecured,55,10,156,H,Y,2,M,M,342,S,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,510,180000,60101,63811,435,0,D,49,62,0,0,99,0,0,0,0,1,13,N,0,38,6,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
5,8,913,A,120,33000.0,9.4,secured  ,59,11,18,H,Y,0,M,M,170,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,205000,166543,219003,1256,0,D,45,168,0,0,99,0,0,0,0,1,1,N,0,525,9,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
6,9,840,B,60,8000.0,15.9,UnSecured,12,2,293,H,Y,0,M,M,77,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,317,179000,78823,90797,677,0,D,51,80,0,0,99,11,1,1,0,1,21,N,0,120,9,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
8,11,901,A,60,12000.0,11.9,UnSecured,11,2,108,H,Y,1,M,M,24,P,F,P,6,TRUE,TRUE ,TRUE ,TRUE ,FALSE,TRUE,FALSE ,180,180000,149254,158678,1300,5,D,55,151,0,0,99,0,1,1,0,5,8,N,0,95,9,N,99,LASCI                     ,1,751.0,LASCI,Single,1,0,0
9,13,915,A,60,6000.0,12.9,UnSecured,49,9,36,T,Y,0,S,F,72,D,F,P,2,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,384,120000,0,2785,0,0,D,48,0,0,0,99,0,0,0,0,2,3,N,0,28,4,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
11,20,968,X,120,18000.0,8.4,secured  ,24,4,2,H,N,0,D,F,168,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,420,120000,66776,85502,526,0,D,49,68,0,0,99,0,0,0,0,2,1,N,0,188,8,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
12,21,904,A,60,10000.0,8.7,UnSecured,46,8,24,H,Y,0,M,M,8,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,174,150000,128584,157718,977,5,D,37,130,0,0,99,0,0,0,0,4,0,N,0,292,8,N,99,LASU                      ,1,750.0,LASU,Single,1,0,0
13,23,924,A,44,8000.0,9.9,UnSecured,47,8,418,T,Y,0,S,M,439,S,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,379,120000,0,2827,0,0,D,72,0,0,0,99,0,0,0,0,0,0,N,0,29,1,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
15,25,804,D,84,5000.0,17.1,secured  ,44,8,12,H,Y,2,M,M,36,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,165000,148728,160650,830,5,D,37,150,0,0,99,0,3,3,1,5,1,N,0,120,8,N,99,LASCI                     ,1,751.0,LASCI,Single,1,0,0
16,27,840,B,120,21200.0,11.5,secured  ,44,8,339,H,Y,0,M,M,133,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,231,117000,11983,31316,13,0,D,50,0,0,0,99,0,3,1,1,9,28,N,0,314,8,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
17,30,862,B,37,2000.0,31.9,UnSecured,18,3,44,H,Y,0,M,M,63,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,186,291000,0,279819,1360,4,D,35,241,1,10,27,226,1,0,0,5,0,N,1,402,6,N,27,Life & CI                 ,1,714.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
18,31,785,E,48,1100.0,40.9,UnSecured,23,4,94,T,Y,0,S,M,54,P,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,150,120000,0,789,21,4,D,39,0,1,3,47,0,3,0,3,8,3,N,1,8,5,N,47,Single                    ,1,715.0,LASU,Single,1,0,0
19,32,847,B,120,20000.0,9.4,secured  ,16,3,237,H,Y,0,M,M,309,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,326,272000,146413,170348,891,4,D,59,148,0,0,99,0,2,0,0,2,16,N,0,240,9,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
20,38,912,A,120,12000.0,9.4,secured  ,25,4,3,H,Y,0,M,F,240,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,272000,191930,220021,1910,0,D,55,193,0,0,99,76,3,2,2,4,0,N,0,281,9,N,99,Joint                     ,1,719.0,LASCI JOINT,Joint,0,1,0
21,41,910,A,120,17000.0,12.9,secured  ,22,4,108,H,Y,0,M,M,42,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,156,137000,133389,208441,1356,5,D,35,135,0,0,99,0,0,0,0,5,10,N,0,751,9,N,99,Joint Life & Critica      ,1,749.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
22,43,924,A,120,10000.0,11.4,secured  ,43,7,120,H,N,2,M,M,62,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,158,122000,103015,107059,665,0,D,48,105,0,0,99,27,2,0,0,4,10,N,0,41,3,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
24,47,875,A,60,6500.0,16.9,UnSecured,44,8,198,H,Y,1,M,F,48,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,306,75000,0,0,0,5,D,45,0,0,0,99,0,0,0,0,0,0,N,0,0,0,N,99,Single                    ,1,717.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
25,51,1004,X,60,6000.0,8.9,UnSecured,60,11,169,H,Y,0,M,M,121,P,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,254,130000,0,16305,288,0,D,46,0,0,0,99,0,0,0,0,0,7,N,0,164,2,N,99,Single                    ,1,717.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
28,57,903,A,120,10200.0,10.9,secured  ,23,4,96,H,N,0,M,F,36,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,216,118000,83667,89625,799,5,D,48,85,2,146,12,64,0,0,0,4,8,N,2,62,3,N,12,LASU                      ,1,750.0,LASU,Single,1,0,0
29,58,865,B,60,5000.0,15.9,UnSecured,49,9,39,T,Y,2,M,M,3,P,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,132,120000,0,1945,40,5,D,31,0,0,0,99,0,0,0,0,0,3,N,0,20,3,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
30,59,774,E,120,15000.0,10.9,secured  ,42,7,300,H,Y,1,M,M,61,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,131,82000,12262,20309,165,0,D,58,0,1,6,72,0,0,0,0,9,24,N,1,204,6,N,72,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
31,67,804,D,84,7500.0,18.9,secured  ,44,8,4,H,Y,5,M,M,60,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,84,85000,81635,86634,713,5,D,38,83,1,2,25,25,0,0,0,9,0,N,0,50,5,N,99,1st Cust-LASU/ 2nd C      ,1,752.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
32,71,942,A,120,14000.0,12.4,secured  ,44,8,168,H,Y,0,M,M,38,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,240,68000,58090,67072,874,5,D,42,60,0,0,99,334,0,2,0,2,6,N,0,90,3,N,99,LASU                      ,1,750.0,LASU,Single,1,0,0
33,72,870,B,60,8000.0,15.9,UnSecured,49,9,60,T,Y,1,S,M,60,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,120000,0,4845,109,0,D,33,0,0,0,99,0,2,0,0,5,0,N,0,49,8,N,99,Life & Critical Illn      ,1,748.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
35,77,1006,X,120,30000.0,7.9,secured  ,18,3,125,H,Y,0,M,M,341,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,329,232000,95000,68783,919,0,D,50,0,0,0,99,0,1,0,0,9,10,N,0,688,9,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
36,78,885,A,24,1000.0,30.9,UnSecured,46,8,114,H,Y,1,M,M,83,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,185,100000,30712,31273,363,0,D,42,32,0,0,99,0,3,0,1,1,8,N,0,6,6,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
37,80,811,D,60,2500.0,29.9,UnSecured,24,4,18,H,Y,1,S,F,132,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,144,85000,73537,111958,865,0,D,31,75,0,0,99,0,2,1,0,3,0,N,0,385,9,N,99,LASU                      ,1,750.0,LASU,Single,1,0,0
38,84,858,B,120,12000.0,10.4,secured  ,44,8,178,H,Y,2,S,M,188,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,270,76000,42416,15738,0,1,D,44,0,2,12,43,14,0,1,0,2,13,N,1,158,1,N,64,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
39,86,673,R,60,2000.0,15.9,UnSecured,19,3,120,H,Y,1,D,F,18,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,254000,175000,10616,338,5,D,43,0,0,0,99,25,6,6,6,2,10,N,0,107,9,N,99,LASU                      ,1,750.0,LASU,Single,1,0,0
43,94,885,A,24,1500.0,22.9,UnSecured,43,7,60,H,Y,1,M,M,42,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,132,95000,74000,93160,872,4,D,29,81,0,0,99,0,1,1,0,2,4,N,0,142,8,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
46,100,954,X,60,6000.0,7.9,UnSecured,10,2,18,H,Y,1,S,F,180,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,192,220000,120000,154372,771,0,D,43,149,0,0,99,0,0,0,0,0,1,N,0,70,6,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
52,111,902,A,120,22000.0,10.9,secured  ,24,4,168,H,Y,2,M,M,218,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,336,110000,74789,107499,617,1,D,37,76,1,3,14,125,3,1,1,2,14,N,0,328,9,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
53,115,991,X,60,10000.0,7.4,UnSecured,6,1,157,H,Y,0,M,M,274,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,178,400000,296833,372884,3674,0,D,55,298,0,0,99,0,1,0,0,3,0,N,0,761,9,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
54,116,868,B,60,8000.0,16.4,secured  ,42,7,12,H,Y,1,D,M,18,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,240,80000,75261,103404,782,0,D,51,77,0,0,99,9,0,0,0,4,1,N,0,282,9,N,99,Life & CI                 ,1,714.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
55,119,900,A,60,8000.0,10.9,UnSecured,37,6,126,H,Y,0,M,F,79,G,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,TRUE  ,283,75000,64000,8447,121,0,D,42,0,0,0,99,5,0,0,0,2,10,N,0,85,9,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
57,124,1048,X,60,9000.0,10.9,UnSecured,27,4,60,T,Y,1,M,M,54,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,120000,0,741,0,5,D,39,0,0,0,99,0,0,0,0,0,0,N,0,8,1,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
58,128,885,A,36,2000.0,20.9,UnSecured,40,6,264,H,Y,1,M,M,90,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,190000,37000,18178,165,0,D,46,0,0,0,99,0,0,0,0,6,0,N,0,182,4,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
59,130,845,B,120,10000.0,10.9,secured  ,42,7,120,H,Y,0,S,F,144,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,160000,104860,100338,530,4,D,35,94,1,56,41,123,2,1,0,6,2,N,1,83,4,N,41,Single                    ,1,715.0,LASU,Single,1,0,0
60,132,835,C,24,600.0,27.9,UnSecured,45,8,132,T,Y,0,S,M,6,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,204,120000,0,34604,530,0,D,36,0,0,0,99,2,0,0,0,5,0,N,0,347,7,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
